Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
8	Situation X, alle A w‰hlen	Weiﬂ  3	1	55	2	4	1	3	9	4	3	0	4	0	10	1	1	3	8	2	3	0	4	0	1	0	1	0
8	3 * Y 	Weiﬂ  2	2	57	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
8	3*y	Weiﬂ  1	2	54	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
8	wir pl‰dieren f¸r B, da wir ehrlich sind :)	Weiﬂ  2	2	47	6	2	1	3	4	2	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
8	3 mal x	Weiﬂ  2	3	49	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
8	wir nehmen a	Weiﬂ  2	3	30	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
8	Situation X	Weiﬂ  2	4	56	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
8	bei allen	Weiﬂ  2	4	52	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	.
8	epfehlen A	Weiﬂ  2	4	46	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
8	empfehlen	Weiﬂ  2	4	42	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
9	situation x 	Weiﬂ  3	1	58	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
9	Es war 3 * x	Weiﬂ  2	1	53	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
9	w‰hlen alle a	Weiﬂ  3	1	50	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
9	Wir stimmen f¸r A	Weiﬂ  2	1	48	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
9	3*x	Weiﬂ  2	2	59	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
9	x	Weiﬂ  3	2	59	10	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
9	Situation X, alle A w‰hlen	Weiﬂ  3	3	54	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
9	X, A	Weiﬂ  2	3	54	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
9	A w‰hlen!	Weiﬂ  1	3	46	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
9	Situation X	Weiﬂ  1	4	55	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
9	X, stimmtt A	Weiﬂ  2	4	54	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
9	A bitte!	Weiﬂ  1	4	48	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
10	3 mal x und wir stimmen f¸r a	Weiﬂ  2	2	42	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
10	Bergfest, Prost	Weiﬂ  3	2	12				3				1										1			0	0	0	.
10	2x X,. 1xy	Weiﬂ  1	3	54	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
10	X, also f¸r A stimmen	Weiﬂ  2	3	42	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
10	X und A	Weiﬂ  1	4	54	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
10	Situation X -> A w‰hlen	Weiﬂ  2	4	46	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
10	gut machen wir so	Weiﬂ  1	4	38	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
11	3x X	Weiﬂ  2	1	39	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
11	wir nehmen A	Weiﬂ  2	1	36	10	1	1	3	3	1	3	0	4	0	1	1	1	3	3	1	3	0	4	0	0	0	0	.
11	bevor keiner was schreibt 	Weiﬂ  2	1	28				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
11	jaa :D	Weiﬂ  3	1	19				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
11	die leute werden tippfaul	Weiﬂ  2	1	10				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
11	und m¸de	Weiﬂ  3	1	2				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
11	x x x	Weiﬂ  2	2	57	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
11	X -> A	Weiﬂ  1	3	53	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
11	3x	Weiﬂ  1	3	49	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
11	x also a w‰hlen	Weiﬂ  3	3	26	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
11	3 mal x	Weiﬂ  2	4	58	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
11	3 mal x	Weiﬂ  1	4	57	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
11	alternative A	Weiﬂ  3	4	49	1	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
12	3 mal x	Weiﬂ  2	1	55	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
12	haben alle x	Weiﬂ  1	1	49	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
12	wir stimmen f¸r a	Weiﬂ  2	1	44	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
12	und w¸rden euch A empfehlen	Weiﬂ  1	1	42	10	1	1	3	3	1	3	0	4	0	10	1	3	3	3	1	3	0	4	0	0	0	0	.
12	situation X bei uns!	Weiﬂ  3	2	27	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
12	keiner will mehr schreiben xD	Weiﬂ  2	2	13				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
12	X, A	Weiﬂ  2	3	52	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
12	3 mal x 	Weiﬂ  1	3	51	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
12	a	Weiﬂ  1	3	46	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
12	2*x und 1*y	Weiﬂ  1	4	55	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
12	2*X, 1*Y	Weiﬂ  2	4	52	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
13	2*x und 1*y	Weiﬂ  2	1	52	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
13	2x, 1y	Weiﬂ  2	2	58	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
13	wir nehmen a	Weiﬂ  3	2	40	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
13	X, A	Weiﬂ  2	3	56	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	3	3	0	4	0	0	0	0	0
13	dreimal A	Weiﬂ  3	4	55	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
13	und dreimal X	Weiﬂ  3	4	48	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
13	= Ä	Weiﬂ  3	4	6	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
14	Situation X	Weiﬂ  2	1	57	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
14	bei allen	Weiﬂ  2	1	55	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
14	-> A	Weiﬂ  2	1	35	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
14	2x, 1y	Weiﬂ  2	2	55	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
14	w‰hlen a	Weiﬂ  2	2	52	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
